label,seed,n_obstacles,sphere_pct,env_length,min_target_vel,max_target_vel,randpos_std_min,randpos_std_max,n_envs,n_steps,n_episodes,n_success,n_collision,n_timeout,success_rate,collision_rate,timeout_rate,mean_arrive_time,mean_avg_vel,mean_episode_length_s
sim01_baseline,1,30,0.33,25,3.0,6.0,6,7,64,2000,228,172,29,27,0.7544,0.1272,0.1184,12.839,3.279,15.619
sim02_sparse,2,10,0.33,25,3.0,6.0,6,7,64,2000,214,194,5,15,0.9065,0.0234,0.0701,11.883,3.546,17.18
sim03_dense,3,60,0.33,25,3.0,6.0,6,7,64,2000,233,125,58,50,0.5365,0.2489,0.2146,14.356,2.999,15.2
sim04_spheres_heavy,4,30,0.7,25,3.0,6.0,6,7,64,2000,237,175,31,31,0.7384,0.1308,0.1308,12.965,3.293,15.403
sim05_cubes_heavy,5,30,0.1,25,3.0,6.0,6,7,64,2000,218,179,15,24,0.8211,0.0688,0.1101,12.618,3.403,16.712
sim06_short_dist,6,20,0.33,15,3.0,6.0,4,5,64,2000,330,219,56,55,0.6636,0.1697,0.1667,8.594,2.935,11.347
sim07_long_dist,7,50,0.33,35,3.0,6.0,8,9,64,2000,167,131,15,21,0.7844,0.0898,0.1257,17.253,3.521,20.86
sim08_slow_targets,8,30,0.33,25,1.5,3.0,6,7,64,2000,149,86,6,57,0.5772,0.0403,0.3826,20.984,2.019,22.718
sim09_fast_targets,9,30,0.33,25,5.0,8.0,6,7,64,2000,362,203,144,15,0.5608,0.3978,0.0414,10.073,4.153,10.517
sim10_clustered,10,40,0.5,25,3.0,6.0,4,5,64,2000,270,138,71,61,0.5111,0.263,0.2259,13.971,3.066,13.594
sim11_baseline_reseed,21,30,0.33,25,3.0,6.0,6,7,64,2000,222,176,28,18,0.7928,0.1261,0.0811,12.928,3.302,16.435
sim12_very_dense,22,80,0.33,25,3.0,6.0,6,7,64,2000,281,97,81,103,0.3452,0.2883,0.3665,15.971,2.755,13.013
sim13_very_sparse,23,5,0.33,25,3.0,6.0,6,7,64,2000,223,211,5,7,0.9462,0.0224,0.0314,11.302,3.734,16.376
sim14_pure_spheres,24,30,0.95,25,3.0,6.0,6,7,64,2000,227,179,25,23,0.7885,0.1101,0.1013,12.494,3.421,16.117
sim15_pure_cubes,25,30,0.0,25,3.0,6.0,6,7,64,2000,206,169,13,24,0.8204,0.0631,0.1165,13.263,3.288,17.523
sim16_wide_arena,26,70,0.33,40,3.0,6.0,10,11,64,2000,160,113,28,19,0.7063,0.175,0.1187,19.354,3.504,21.177
sim17_tight_arena,27,12,0.33,10,3.0,5.0,3,4,64,2000,378,274,24,80,0.7249,0.0635,0.2116,6.042,2.679,10.087
sim18_ultra_fast,28,30,0.33,25,7.0,10.0,6,7,64,2000,653,175,470,8,0.268,0.7198,0.0123,8.204,5.043,5.973
sim19_ultra_slow,29,30,0.33,25,0.5,1.5,6,7,64,2000,147,2,4,141,0.0136,0.0272,0.9592,28.954,1.243,24.432
sim20_tight_cluster,30,50,0.5,25,3.0,6.0,3,4,64,2000,302,109,115,78,0.3609,0.3808,0.2583,15.86,2.676,12.117
