label,seed,n_obstacles,sphere_pct,env_length,min_target_vel,max_target_vel,randpos_std_min,randpos_std_max,n_envs,n_steps,n_episodes,n_success,n_collision,n_timeout,success_rate,collision_rate,timeout_rate,mean_arrive_time,mean_avg_vel,mean_episode_length_s
sim01_baseline,1,30,0.33,25,3.0,6.0,6,7,64,2000,204,168,7,29,0.8235,0.0343,0.1422,14.016,3.033,17.782
sim02_sparse,2,10,0.33,25,3.0,6.0,6,7,64,2000,213,207,1,5,0.9718,0.0047,0.0235,12.249,3.381,16.925
sim03_dense,3,60,0.33,25,3.0,6.0,6,7,64,2000,197,129,19,49,0.6548,0.0964,0.2487,17.176,2.534,18.409
sim04_spheres_heavy,4,30,0.7,25,3.0,6.0,6,7,64,2000,208,175,9,24,0.8413,0.0433,0.1154,14.432,2.984,17.449
sim05_cubes_heavy,5,30,0.1,25,3.0,6.0,6,7,64,2000,186,170,5,11,0.914,0.0269,0.0591,14.563,2.974,19.117
sim06_short_dist,6,20,0.33,15,3.0,6.0,4,5,64,2000,293,227,17,49,0.7747,0.058,0.1672,9.526,2.625,12.69
sim07_long_dist,7,50,0.33,35,3.0,6.0,8,9,64,2000,146,130,2,14,0.8904,0.0137,0.0959,18.792,3.127,23.02
sim08_slow_targets,8,30,0.33,25,1.5,3.0,6,7,64,2000,134,107,3,24,0.7985,0.0224,0.1791,21.978,1.916,26.032
sim09_fast_targets,9,30,0.33,25,5.0,8.0,6,7,64,2000,243,189,24,30,0.7778,0.0988,0.1235,11.819,3.555,15.081
sim10_clustered,10,40,0.5,25,3.0,6.0,4,5,64,2000,210,140,17,53,0.6667,0.081,0.2524,16.047,2.617,17.13
sim11_baseline_reseed,21,30,0.33,25,3.0,6.0,6,7,64,2000,203,175,7,21,0.8621,0.0345,0.1034,13.76,3.05,18.054
sim12_very_dense,22,80,0.33,25,3.0,6.0,6,7,64,2000,220,93,33,94,0.4227,0.15,0.4273,18.215,2.411,16.089
sim13_very_sparse,23,5,0.33,25,3.0,6.0,6,7,64,2000,210,208,0,2,0.9905,0.0,0.0095,12.027,3.493,17.182
sim14_pure_spheres,24,30,0.95,25,3.0,6.0,6,7,64,2000,225,183,12,30,0.8133,0.0533,0.1333,13.63,3.077,16.341
sim15_pure_cubes,25,30,0.0,25,3.0,6.0,6,7,64,2000,188,172,6,10,0.9149,0.0319,0.0532,14.517,2.935,18.974
sim16_wide_arena,26,70,0.33,40,3.0,6.0,10,11,64,2000,139,117,7,15,0.8417,0.0504,0.1079,20.744,3.252,24.297
sim17_tight_arena,27,12,0.33,10,3.0,5.0,3,4,64,2000,356,282,9,65,0.7921,0.0253,0.1826,6.795,2.424,10.781
sim18_ultra_fast,28,30,0.33,25,7.0,10.0,6,7,64,2000,346,207,102,37,0.5983,0.2948,0.1069,10.341,4.106,11.041
sim19_ultra_slow,29,30,0.33,25,0.5,1.5,6,7,64,2000,132,6,4,122,0.0455,0.0303,0.9242,28.649,1.332,27.947
sim20_tight_cluster,30,50,0.5,25,3.0,6.0,3,4,64,2000,214,109,19,86,0.5093,0.0888,0.4019,18.066,2.344,16.564
